key,español,wayuunaiki_provisional,estado,correccion_local,zona_o_comunidad,observaciones
stakeStep4,"Elige una sola línea que vas a seguir en el tiempo, por ejemplo el borde del escarpe de erosión o la línea de vegetación estable.","Pünee wane wopu ne'e süpüla ayataa süchiki akalia, aa'u palaapülee mojusü je wuna'apü ichee.",PENDIENTE DE REVISIÓN LOCAL,,,
stakeStep5,Extiende la cinta desde A siguiendo exactamente la alineación A B hasta la línea elegida. Registra la distancia y el método Cinta métrica.,"Püjütaja sinta sünain A, lotaa sümaa A B, amüin wopu aneekünaka. Pünaaja wattaa otta akuaippa Sinta ayaawataa.",PENDIENTE DE REVISIÓN LOCAL,,,
stakeStep6,"Haz una segunda lectura para comprobar que no hubo un error de lectura. Si no coinciden, repite y explica la diferencia en la nota.","Paainja piantua ayaawataa süpüla e'rajawaa müleka pansawaa. Müleka nnojotsü wane, püchekja otta püshaja ee'irataa sulu'u ashajaa.",PENDIENTE DE REVISIÓN LOCAL,,,
stakeStep7,"Toma una fotografía desde el mismo punto y, cuando sea posible, en la misma dirección.","Pünaaja ayaakua süka wane apülee otta, müleka ainkaa, wane dirección.",PENDIENTE DE REVISIÓN LOCAL,,,
stakeStep8,En la siguiente visita vuelve al mismo punto permanente y repite exactamente la operación.,"Süchiki akalia, püeitawa apülee ichee otta paainja kasa maa aka waneepia.",PENDIENTE DE REVISIÓN LOCAL,,,
stakeWarning,"Nunca coloques una referencia en un borde inestable ni entres en la zona de rompiente para obtener una medida. Si una estaca desaparece o se mueve, regístralo. No la sustituyas como si fuera la misma referencia.","Jalia. Nnojotsü paainjain ayaawase sünain palaapülee mojusü otta nnojotsü pekeraain sulu'u palaa katsüin süpüla ayaawataa. Müleka estaca amüloulüin je ee'iratawain, pünaaja müsü. Nnojotsü pü'wanajain maa müsü wane ayaawase ne'e.",PENDIENTE DE REVISIÓN LOCAL,,,
photoMethodTitle,Método 2. Fotografía desde un punto fijo,Akuaippa 2. Ayaakua süka apülee ichee,PENDIENTE DE REVISIÓN LOCAL,,,
photoStep1,Escoge una referencia estable desde la que puedas volver a fotografiar.,Pünee wane ayaawase ichee jalain pia ainküin eitawaa süpüla ayaakua.,PENDIENTE DE REVISIÓN LOCAL,,,
photoStep2,Guarda el lugar como punto permanente.,Pünaaja apülee müsü apülee ichee.,PENDIENTE DE REVISIÓN LOCAL,,,
photoStep3,Anota la dirección de la fotografía y una referencia visible que ayude a repetir el encuadre.,Püshaja dirección ayaakua otta wane ayaawase ja'yaa süpüla eitawaa wane encuadre.,PENDIENTE DE REVISIÓN LOCAL,,,
photoStep4,"En cada visita intenta usar el mismo lugar, altura aproximada y dirección.","Sulu'u wane'e akalia pünaaja ayaakua süka wane apülee, yaletaa jo'uuchon wane otta wane dirección.",PENDIENTE DE REVISIÓN LOCAL,,,
photoStep5,Haz la fotografía antes de acercarte a la zona erosionada y añade una nota sobre los cambios observados.,Pünaaja ayaakua palajana pejeewain palaapülee mojusü otta püshaja ee'irataa e'rajünaka.,PENDIENTE DE REVISIÓN LOCAL,,,
photoWarning,Las fotografías repetidas permiten documentar cambios. Por sí solas no deben convertirse automáticamente en metros de erosión.,Ayaakua ayatünaka waneepia akaalijüsü e'iyataa ee'irataa. Nnojotsü süka ne'e ayaawatünü metro erosión.,PENDIENTE DE REVISIÓN LOCAL,,,
waterlineMethodTitle,Si mides hasta el borde del agua,Müleka püyaawatüin amüin palaapülee wüin,PENDIENTE DE REVISIÓN LOCAL,,,
waterlineMethodText,El borde del agua se mueve con la marea y el oleaje. Registra siempre la hora y el estado observado del mar. Para comparar dos medidas procura realizar las visitas en condiciones de marea semejantes. Una diferencia medida en horas o estados de marea distintos no debe interpretarse directamente como erosión.,"Palaapülee wüin ee'iratasü süka marea otta palaa. Pünaaja oora otta akuaippa palaa waneepia. Süpüla asottaa piama ayaawataa, anaasü aainjaa sulu'u marea süchiki wane. Ee'irataa sulu'u oora je marea nnojotsü ayaawatünü maa erosión.",PENDIENTE DE REVISIÓN LOCAL,,,
minimumRecordTitle,Qué debe quedar registrado,Kasa kapülain anaajaa,PENDIENTE DE REVISIÓN LOCAL,,,
minimum1,Código del punto permanente,Ayaawase apülee ichee,PENDIENTE DE REVISIÓN LOCAL,,,
minimum2,Fecha y hora,Akalia otta oora,PENDIENTE DE REVISIÓN LOCAL,,,
minimum3,Referencia fija utilizada,Ayaawase ichee atüjünaka,PENDIENTE DE REVISIÓN LOCAL,,,
minimum4,Línea medida,Wopu ayaawatünaka,PENDIENTE DE REVISIÓN LOCAL,,,
minimum5,Distancia y método,Wattaa otta akuaippa,PENDIENTE DE REVISIÓN LOCAL,,,
minimum6,Fotografía y nota cuando sea posible,Ayaakua otta ashajaa müleka ainkaa,PENDIENTE DE REVISIÓN LOCAL,,,
minimum7,Estado observado del mar,Akuaippa palaa e'rajünaka,PENDIENTE DE REVISIÓN LOCAL,,,
minimum8,Posición y precisión del celular cuando estén disponibles,Apülee otta pansawaa GPS müleka eewain,PENDIENTE DE REVISIÓN LOCAL,,,
gpsTitle,Sobre el GPS del celular,Achiki GPS celular,PENDIENTE DE REVISIÓN LOCAL,,,
gpsHelp,El GPS ayuda a localizar la observación. No tiene la precisión de un equipo profesional. COSTA VIVA conserva la precisión informada por el dispositivo para evitar aparentar una exactitud que no existe.,GPS akaalijüsü e'rajawaa apülee. Nnojotsü pansawain maa equipo profesional. COSTA VIVA anaajüsü pansawaa ee'iyatünaka süka celular süpüla nnojotsü e'iyataain pansawaa nnojotsü eewain.,PENDIENTE DE REVISIÓN LOCAL,,,
installTitle,Instalar COSTA VIVA,Aikkale'eraa COSTA VIVA,PENDIENTE DE REVISIÓN LOCAL,,,
installHelp,En un navegador compatible utiliza Instalar o Añadir a pantalla de inicio. Después podrás abrir COSTA VIVA como una aplicación.,"Sulu'u navegador anain, pünee Instalar je Añadir a pantalla. Süchiki tüü ainkasü pükerolaa COSTA VIVA maa aplicación.",PENDIENTE DE REVISIÓN LOCAL,,,
installOnDevice,INSTALAR EN ESTE CELULAR,AIKKALE'ERAA SULU'U CELULAR TÜÜ,PENDIENTE DE REVISIÓN LOCAL,,,
installModalKicker,Instalar en el dispositivo,Aikkale'eraa sulu'u celular,PENDIENTE DE REVISIÓN LOCAL,,,
installModalTitle,Instalar COSTA VIVA,Aikkale'eraa COSTA VIVA,PENDIENTE DE REVISIÓN LOCAL,,,
installModalIntro,La instalación permite abrir COSTA VIVA desde la pantalla principal y facilita el uso en campo.,Aikkale'eraa akaalijüsü ekeraajaa COSTA VIVA süka icono otta ayataa sulu'u mma.,PENDIENTE DE REVISIÓN LOCAL,,,
installNativeReady,Tu navegador permite instalar COSTA VIVA directamente.,Navegador tüü ainkasü aikkale'eraa COSTA VIVA joolu'u.,PENDIENTE DE REVISIÓN LOCAL,,,
installNow,INSTALAR AHORA,AIKKALE'ERAA JOOLU'U,PENDIENTE DE REVISIÓN LOCAL,,,
installManualTitle,Cómo instalar,Jamüsü aikkale'erain,PENDIENTE DE REVISIÓN LOCAL,,,
installWordingNote,El nombre exacto de la opción puede variar según el navegador y el teléfono.,Pütchi süpüla opción ainkasü ee'irataa sünain navegador otta celular.,PENDIENTE DE REVISIÓN LOCAL,,,
installAndroid1,Abre el menú del navegador con los tres puntos.,Püjütaa menu navegador sünain apünuin punto.,PENDIENTE DE REVISIÓN LOCAL,,,
installAndroid2,Busca Instalar aplicación o Añadir a pantalla de inicio.,Püchaja Instalar aplicación je Añadir a pantalla de inicio.,PENDIENTE DE REVISIÓN LOCAL,,,
installAndroid3,Confirma la instalación y abre COSTA VIVA desde su icono.,Pükaa aikkale'eraa otta pükerola COSTA VIVA süka icono.,PENDIENTE DE REVISIÓN LOCAL,,,
installIOS1,Abre COSTA VIVA en Safari.,Püjütaa COSTA VIVA sulu'u Safari.,PENDIENTE DE REVISIÓN LOCAL,,,
installIOS2,Pulsa Compartir.,Püjütaa Compartir.,PENDIENTE DE REVISIÓN LOCAL,,,
installIOS3,Elige Añadir a pantalla de inicio y confirma.,Pünee Añadir a pantalla de inicio otta pükaa.,PENDIENTE DE REVISIÓN LOCAL,,,
installDesktop1,Busca el icono de instalación en la barra de direcciones o abre el menú del navegador.,Püchaja icono aikkale'eraa sulu'u barra navegador je püjütaa menu.,PENDIENTE DE REVISIÓN LOCAL,,,
installDesktop2,Elige Instalar COSTA VIVA o Instalar aplicación.,Pünee Instalar COSTA VIVA je Instalar aplicación.,PENDIENTE DE REVISIÓN LOCAL,,,
installDesktop3,Confirma la instalación.,Pükaa aikkale'eraa.,PENDIENTE DE REVISIÓN LOCAL,,,
installedAlready,COSTA VIVA ya está instalada en este dispositivo.,COSTA VIVA eejatü aikkale'eraka sulu'u dispositivo tüü.,PENDIENTE DE REVISIÓN LOCAL,,,
projectInfoKicker,INFORMACIÓN DEL PROYECTO,KASACHIKI PROYECTOKAT,PENDIENTE DE REVISIÓN LOCAL,,,
projectInfoSubtitle,Herramienta abierta de ciencia popular para observación comunitaria de la costa,Herramienta jutataa süpüla atüjalaa wayuu otta e'rajawaa palaa,PENDIENTE DE REVISIÓN LOCAL,,,
projectInfoAria,Información del proyecto,Kasachiki proyectokat,PENDIENTE DE REVISIÓN LOCAL,,,
projectPurposeTitle,Para qué existe,Kasa süpüla eewain,PENDIENTE DE REVISIÓN LOCAL,,,
projectPurposeText,"COSTA VIVA nace para que comunidades con medios limitados puedan documentar cambios de su costa de forma ordenada, repetible y verificable usando celulares comunes y métodos sencillos de campo. La herramienta ayuda a conservar qué se observó, dónde, cuándo, cómo se midió y qué evidencia quedó registrada.","COSTA VIVA aainjüsü süpüla wayuukana kalu'uin kasa jo'uuchon ainküin anaajaa ee'irataa palaa süka celular otta akuaippa mmaka. Anaajüsü kasa e'rajünaka, jalaa, joolu, jamüsü ayaawatünain otta kasa ayaawase anaajünaka.",PENDIENTE DE REVISIÓN LOCAL,,,
popularScienceTitle,Ciencia popular,Atüjalaa wayuu,PENDIENTE DE REVISIÓN LOCAL,,,
popularScienceText,"La sofisticación está en el método y no en exigir equipos costosos. Un registro comunitario gana valor cuando conserva el procedimiento, la incertidumbre, la fecha, la posición disponible, las fotografías, las notas y las mediciones repetidas. COSTA VIVA busca hacer posible ese trabajo sin convertir un celular en un instrumento profesional que no es.","Katsüinsü akuaippa, nnojotsü equipo kojutüin. Anaajaa wayuu anaasü müleka anaajünü jamüsü aainjünain, nnojotsü pansawaa, akalia, apülee, ayaakua, ashajaa otta ayaawataa ayatünaka. COSTA VIVA nnojotsü e'iyataain celular maa equipo profesional.",PENDIENTE DE REVISIÓN LOCAL,,,
originTitle,Por qué nació COSTA VIVA,Jalajeerü COSTA VIVA,PENDIENTE DE REVISIÓN LOCAL,,,
originText1,"COSTA VIVA surge a partir del trabajo realizado junto a comunidades Wayuu de Arroyo Guerrero, en La Guajira colombiana, donde la erosión costera y otros cambios ambientales hacían necesario documentar de forma continuada lo que estaba ocurriendo en el territorio.","COSTA VIVA antüsü süchiki a'yatawaa sümaa wayuukana Arroyo Guerrero sulu'u La Guajira, jalaa palaa ee'iratasü mma otta kasa mma, otta kapülainsü anaajaa waneepia kasa e'iyalajaka sulu'u woumain.",PENDIENTE DE REVISIÓN LOCAL,,,
originText2,"Con la colaboración de Clarena Fonseca y el trabajo desarrollado con las comunidades se impulsó el uso de fotografías, vídeos, recorridos, localización mediante GPS y observaciones repetidas usando principalmente los teléfonos celulares disponibles.","Sümaa akaalijia Clarena Fonseca otta a'yatawaa sümaa wayuukana, aainjünüsü ayaakua, video, waraittaa, GPS otta e'rajawaa ayatünaka süka celular eejatü.",PENDIENTE DE REVISIÓN LOCAL,,,
originText3,"De esa experiencia nace la idea de una herramienta de ciencia popular capaz de ayudar a crear puntos de observación, repetir mediciones, conservar evidencias y construir una memoria territorial verificable sin exigir instrumentación costosa.","Süchiki tüü antüsü aa'in COSTA VIVA, wane herramienta atüjalaa wayuu süpüla aainjaa apülee e'rajawaa, ayaawataa waneepia, anaajaa ayaawase otta sotoo aa'in woumain nnojotsü equipo kojutüin.",PENDIENTE DE REVISIÓN LOCAL,,,
originPrincipleTitle,Una idea sencilla,Wane aa'in anaasü,PENDIENTE DE REVISIÓN LOCAL,,,
originPrincipleText,"La falta de equipos profesionales no debe impedir que una comunidad pueda observar, medir, documentar y conservar de forma ordenada los cambios de su propio territorio.","Nnojotsü equipo profesional nnojotsü süpüla atüjain wayuukana e'rajawaa, ayaawataa, anaajaa otta sotoo aa'in ee'irataa sünain woumain.",PENDIENTE DE REVISIÓN LOCAL,,,
displacementTitle,Cambio climático y desplazamiento,Ee'irataa juya otta ouyantaa wayuu,PENDIENTE DE REVISIÓN LOCAL,,,
displacementText1,"La erosión costera, las inundaciones y la pérdida progresiva de terreno pueden afectar viviendas, caminos, espacios culturales, actividades económicas y otras condiciones necesarias para permanecer en un territorio.","Palaa mojusü mma, wüin ekerolüsü otta mma amüloulüsü ainkasü uwomuyawaa miichi, wopu, apülee akuaippa wayuu otta a'yatawaa süpüla kepiaa sünain woumain.",PENDIENTE DE REVISIÓN LOCAL,,,
displacementText2,Cuando estos procesos contribuyen a que las personas tengan que abandonar temporal o permanentemente un lugar pueden formar parte de dinámicas de desplazamiento asociadas a factores climáticos y ambientales.,"Müleka kasa tüü aainjüin wayuu ouyantaa süka wane apülee o'utpünaa je waneepia, ainkasü anain ee'irataa sümaa juya otta mma.",PENDIENTE DE REVISIÓN LOCAL,,,
displacementCaution,"COSTA VIVA no determina por sí misma que exista desplazamiento climático ni asigna una condición jurídica a las personas. Su función es documentar cambios, impactos y series temporales que puedan ayudar a comprender lo ocurrido.","COSTA VIVA nnojotsü maa süka ne'e eewain ouyantaa süka juya, otta nnojotsü e'itain condición jurídica. Akaalijüsü anaajaa ee'irataa, uwomuyawaa otta akaliairua süpüla atüjaa kasa e'iyalajaka.",PENDIENTE DE REVISIÓN LOCAL,,,
odsTitle,COSTA VIVA y los Objetivos de Desarrollo Sostenible,COSTA VIVA otta ODS,PENDIENTE DE REVISIÓN LOCAL,,,
odsIntro,La iniciativa se alinea principalmente con los siguientes ODS sin implicar reconocimiento o certificación oficial por parte de Naciones Unidas.,Proyectokat eejatü pejeein sümaa ODS tüü. Nnojotsü maa certificación je reconocimiento süka Naciones Unidas.,PENDIENTE DE REVISIÓN LOCAL,,,
ods13Title,Acción por el clima,Aainjaa süchiki juya,PENDIENTE DE REVISIÓN LOCAL,,,
ods13Text,Apoya la observación local de impactos ambientales y la construcción de memoria útil para procesos de adaptación.,Akaalijüsü e'rajawaa uwomuyawaa mma otta anaajaa sotoo aa'in süpüla ee'irataa otta anaajawaa.,PENDIENTE DE REVISIÓN LOCAL,,,
ods11Title,Ciudades y comunidades sostenibles,Pueulo otta akotchirawaa anaasü,PENDIENTE DE REVISIÓN LOCAL,,,
ods11Text,"Ayuda a documentar amenazas sobre viviendas, caminos, espacios comunitarios y patrimonio territorial.","Akaalijüsü anaajaa uwomuyawaa sünain miichi, wopu, apülee wayuu otta kasa woumain.",PENDIENTE DE REVISIÓN LOCAL,,,
ods10Title,Reducción de las desigualdades,Motsottaa ee'irataa sümaa katsüin,PENDIENTE DE REVISIÓN LOCAL,,,
ods10Text,Busca reducir la brecha entre quienes disponen de instrumentación especializada y comunidades que necesitan registrar su territorio con medios limitados.,Achajaajüsü motsottaa wattaa akuaippa sümaa na keejatüin equipo profesional otta wayuukana ayaawatüin woumain süka kasa eejatü.,PENDIENTE DE REVISIÓN LOCAL,,,
ods14Title,Vida submarina,Kataa o'u sulu'u palaa,PENDIENTE DE REVISIÓN LOCAL,,,
ods14Text,Favorece la observación de transformaciones en la franja costera y en los espacios de interacción entre el mar y las comunidades.,Akaalijüsü e'rajawaa ee'irataa sünain palaapülee otta jalain palaa otta wayuukana akotchajaain.,PENDIENTE DE REVISIÓN LOCAL,,,
ods16Title,"Paz, justicia e instituciones sólidas","Anaa aa'in, pansawaa otta aluwatawaa",PENDIENTE DE REVISIÓN LOCAL,,,
ods16Text,Facilita conservar evidencias comunitarias ordenadas que pueden apoyar una participación informada ante instituciones.,Akaalijüsü anaajaa ayaawase wayuu akumajünaka süpüla ashajawaa sümaa akotchirawaa aluwatawaa süka kasachiki.,PENDIENTE DE REVISIÓN LOCAL,,,
ods17Title,Alianzas para lograr los objetivos,Akotchajirawaa süpüla kasa anain,PENDIENTE DE REVISIÓN LOCAL,,,
ods17Text,"Puede facilitar colaboración entre comunidades, universidades, organizaciones sociales, investigadores y administraciones públicas.","Ainkasü akaalijaa akotchajirawaa wayuukana, koleejia miyo'u, akotchirawaa, atüjülii otta aluwatawaa.",PENDIENTE DE REVISIÓN LOCAL,,,
governanceTitle,Gobernanza comunitaria de los datos,Aluwatawaa wayuu sünain kasachiki,PENDIENTE DE REVISIÓN LOCAL,,,
governanceIntro,COSTA VIVA está diseñada para reducir la extracción automática de información producida por las comunidades. No existe un repositorio central de registros comunitarios ni una cuenta obligatoria que envíe los datos de campo a los responsables del proyecto.,COSTA VIVA aainjüsü süpüla nnojotsü oitain automatique kasachiki aainjünaka süka wayuukana. Nnojotsü repositorio palajatü je cuenta kapülain ajütüin kasachiki mmaka amüin na aainjüliikana proyectokat.,PENDIENTE DE REVISIÓN LOCAL,,,
governancePrincipleText,"Los registros no pertenecen a COSTA VIVA por haber sido creados con la aplicación. La comunidad y las personas que generan la información deciden si la conservan, exportan o comparten.","Anaajünaka nnojotsü nain COSTA VIVA süka aainjünain sümaa aplicación. Wayuukana otta na aainjüliikana kasachiki aneeküin anaajaa, exportar je ajütaa.",PENDIENTE DE REVISIÓN LOCAL,,,
governanceControlTitle,Control comunitario.,Aluwatawaa wayuu.,PENDIENTE DE REVISIÓN LOCAL,,,
governanceControlText,Los datos no salen automáticamente del dispositivo.,Kasachiki nnojotsü ojuittüin automatique süka celular.,PENDIENTE DE REVISIÓN LOCAL,,,
governanceDecisionTitle,Decisión informada.,Aneekaa süka atüjaa.,PENDIENTE DE REVISIÓN LOCAL,,,
governanceDecisionText,Compartir requiere una acción consciente de la persona o comunidad.,Ajütaa kapülainsü wane aainjaa atüjünaka süka wayuu je akotchirawaa.,PENDIENTE DE REVISIÓN LOCAL,,,
governancePurposeTitle,Finalidad conocida.,Kasa süpüla atüjünaka.,PENDIENTE DE REVISIÓN LOCAL,,,
governancePurposeText,Quien solicite los datos debería explicar para qué quiere utilizarlos y quién tendrá acceso.,Wayuu achuntaka kasachiki anaasü maa kasa süpüla atüjain otta kachon e'rajüin.,PENDIENTE DE REVISIÓN LOCAL,,,
governanceBenefitTitle,Beneficio colectivo.,Anaa süpüla apüshua'a.,PENDIENTE DE REVISIÓN LOCAL,,,
governanceBenefitText,El uso posterior debería procurar una utilidad reconocible para quienes produjeron la información.,Atüjaa süchiki kasachiki anaasü aainjaa kasa anaain süpüla na aainjüliikana.,PENDIENTE DE REVISIÓN LOCAL,,,
governanceRecognitionTitle,Reconocimiento.,Ayaawataa na aainjüliikana.,PENDIENTE DE REVISIÓN LOCAL,,,
governanceRecognitionText,"La contribución comunitaria no debería desaparecer cuando los registros se convierten en informes, investigaciones o publicaciones.","A'yatawaa wayuu nnojotsü amülouliin müleka anaajünaka ee'iratawain informe, atüjalaa je publicación.",PENDIENTE DE REVISIÓN LOCAL,,,
governanceSensitiveTitle,Protección territorial.,Aa'inmajaa woumain.,PENDIENTE DE REVISIÓN LOCAL,,,
governanceSensitiveText,Una localización o evidencia sensible no debe compartirse solamente porque técnicamente sea posible hacerlo.,Apülee je ayaawase kapülain nnojotsü ajütünü süka ainkain teknicamente ne'e.,PENDIENTE DE REVISIÓN LOCAL,,,
governanceNoShareTitle,Derecho a no compartir.,Ainkaa nnojotsü ajütaa.,PENDIENTE DE REVISIÓN LOCAL,,,
governanceNoShareText,Crear un registro no obliga a entregarlo posteriormente a investigadores o instituciones.,Aainjaa wane anaajünaka nnojotsü aainjain wayuu ajütaa müsü süchiki amüin atüjülii je akotchirawaa aluwatawaa.,PENDIENTE DE REVISIÓN LOCAL,,,
frameworksTitle,Marcos de referencia,Akuaippairua süpüla ayaawataa,PENDIENTE DE REVISIÓN LOCAL,,,
careText,"El diseño toma como referencia la orientación de los principios CARE para la gobernanza de datos indígenas, centrados en beneficio colectivo, autoridad para controlar, responsabilidad y ética.","Aainjünaka tüü e'rajüsü CARE süpüla kasachiki wayuu, sümaa anaa süpüla apüshua'a, aluwatawaa, responsabilidad otta ética.",PENDIENTE DE REVISIÓN LOCAL,,,
ocapText,"OCAP es un marco específico de las First Nations de Canadá sobre propiedad, control, acceso y posesión. COSTA VIVA lo reconoce como referencia relacionada, pero no afirma certificación, adopción formal ni cumplimiento OCAP.","OCAP wane akuaippa First Nations Canadá süpüla propiedad, control, acceso otta posesión. COSTA VIVA e'rajüsü maa referencia, nnojotsü maa certificación je cumplimiento OCAP.",PENDIENTE DE REVISIÓN LOCAL,,,
careLink,Principios CARE · Global Indigenous Data Alliance,CARE · Global Indigenous Data Alliance,PENDIENTE DE REVISIÓN LOCAL,,,
ocapLink,Principios OCAP® · First Nations Information Governance Centre,OCAP® · First Nations Information Governance Centre,PENDIENTE DE REVISIÓN LOCAL,,,
frameworkCaution,Estos marcos pertenecen a contextos y pueblos concretos. Su mención sirve para transparentar referencias éticas y no sustituye los acuerdos propios que cada comunidad establezca sobre sus datos.,Akuaippairua tüü eejatü sünain waneirua wayuu otta mma. Ashajünü yaa süpüla e'iyataa referencia ética. Nnojotsü a'wanajüin akuaippa aneekünaka süka wane'e akotchirawaa sünain kasachiki.,PENDIENTE DE REVISIÓN LOCAL,,,
authorTitle,Autor y desarrollo,Aainjülii otta aainjaa,PENDIENTE DE REVISIÓN LOCAL,,,
authorRole,"Concepción del proyecto, arquitectura científica y digital, diseño metodológico y desarrollo de la herramienta.","Aa'in proyectokat, arquitectura atüjalaa otta digital, akuaippa ayaawataa otta aainjaa herramientakat.",PENDIENTE DE REVISIÓN LOCAL,,,
academicLinkLabel,Vínculo académico del autor,Akotchajirawaa akademikaka aainjülii,PENDIENTE DE REVISIÓN LOCAL,,,
academicLinkValue,Investigador de posdoctorado voluntario en la Universidade Federal de Mato Grosso do Sul,Atüjülii posdoctorado voluntario sulu'u Universidade Federal de Mato Grosso do Sul,PENDIENTE DE REVISIÓN LOCAL,,,
programLabel,Programa,Programa,PENDIENTE DE REVISIÓN LOCAL,,,
contactLabel,Contacto académico,Akotchajawaa akademikaka,PENDIENTE DE REVISIÓN LOCAL,,,
institutionNote,"La afiliación identifica el marco académico de trabajo del autor. No implica por sí sola certificación institucional, financiación, aval oficial ni sustitución de los protocolos técnicos de las autoridades competentes.","Afiliación e'iyatüsü jalain a'yataain aainjülii. Nnojotsü maa certificación, financiación, aval oficial je a'wanajaa protocolo técnico sünain autoridad.",PENDIENTE DE REVISIÓN LOCAL,,,
methodCommitmentTitle,Compromiso metodológico,Pütchi süpüla akuaippa,PENDIENTE DE REVISIÓN LOCAL,,,
methodCommitment1,No inventar valores que el teléfono o la persona no hayan registrado.,Nnojotsü aainjain valor nnojotsü anaajünaka süka celular je wayuu.,PENDIENTE DE REVISIÓN LOCAL,,,
methodCommitment2,"Conservar la precisión informada por el dispositivo y distinguir medición, estimación y observación.","Anaajaa pansawaa ee'iyatünaka süka celular otta ayaawataa ee'irataa sünain medición, estimación otta e'rajawaa.",PENDIENTE DE REVISIÓN LOCAL,,,
methodCommitment3,Favorecer puntos de control y procedimientos que puedan repetirse de la misma forma.,Akaalijaa apülee control otta akuaippa ainküin aainjünü waneepia maa aka.,PENDIENTE DE REVISIÓN LOCAL,,,
methodCommitment4,Mantener los registros bajo control de la comunidad hasta que decida exportarlos o compartirlos.,Anaajaa kasachiki nain wayuukana joolu'u süpüla aneekaa exportar je ajütaa.,PENDIENTE DE REVISIÓN LOCAL,,,
methodCommitment5,"No incluir publicidad, rastreadores ni transmisión automática de los datos de campo.","Nnojotsü publicidad, rastreador je ajütaa automatique kasachiki mmaka.",PENDIENTE DE REVISIÓN LOCAL,,,
licenseTitle,Licencias abiertas,Licencia jutataa,PENDIENTE DE REVISIÓN LOCAL,,,
softwareLicenseLabel,Código fuente,Código palajatü,PENDIENTE DE REVISIÓN LOCAL,,,
softwareLicenseText,"El software de COSTA VIVA se publica bajo la licencia MIT, que permite usar, estudiar, modificar y redistribuir el código conservando el aviso de copyright y la licencia.","Software COSTA VIVA jutataa süka licencia MIT. Ainkasü atüjaa, ee'irataa otta ajütaa código, anaajüin copyright otta licencia.",PENDIENTE DE REVISIÓN LOCAL,,,
readMIT,Leer licencia MIT,Aashaje'eraa licencia MIT,PENDIENTE DE REVISIÓN LOCAL,,,
contentLicenseLabel,Documentación y contenidos metodológicos,Karalouta otta akuaippa metodológikaka,PENDIENTE DE REVISIÓN LOCAL,,,
contentLicenseText,"Los textos de ayuda y materiales metodológicos propios se ofrecen bajo CC BY 4.0, una licencia más apropiada para contenidos, siempre que se reconozca la autoría.","Ashajaa akaalijia otta material metodológikaka jutataa süka CC BY 4.0, sümaa ayaawataa aainjülii.",PENDIENTE DE REVISIÓN LOCAL,,,
readContentLicense,Ver condiciones de los contenidos,E'rajawaa akuaippa contenido,PENDIENTE DE REVISIÓN LOCAL,,,
limitsTitle,Alcance y límites,Jalain ainkain otta jalain nnojotsü,PENDIENTE DE REVISIÓN LOCAL,,,
limitsText,"COSTA VIVA ayuda a documentar observaciones y series comunitarias. No sustituye levantamientos topográficos, GNSS profesional, estudios oceanográficos, peritajes, sistemas oficiales de alerta ni decisiones de protección civil. Los registros deben interpretarse teniendo en cuenta el método utilizado y su incertidumbre.","COSTA VIVA akaalijüsü anaajaa e'rajawaa otta serie wayuu. Nnojotsü a'wanajüin levantamiento topográfico, GNSS profesional, atüjalaa palaa, peritaje, alerta oficial je protección civil. Anaajünaka e'rajünü sümaa akuaippa atüjünaka otta nnojotsü pansawaa.",PENDIENTE DE REVISIÓN LOCAL,,,
citationTitle,Cómo citar COSTA VIVA,Jamüsü ashajünain COSTA VIVA,PENDIENTE DE REVISIÓN LOCAL,,,
citationIntro,Referencia recomendada para la primera versión pública archivada del software.,Ashajaa anain süpüla versión palajatü anaajünaka süka software.,PENDIENTE DE REVISIÓN LOCAL,,,
citationVersionNote,Esta referencia identifica la versión v0.5.0 archivada en Zenodo. Las versiones futuras pueden disponer de su propio registro de versión.,Referencia tüü ayaawatüsü versión v0.5.0 anaajünaka sulu'u Zenodo. Versión jeketü ainkasü eejatü sümaa registro jeketü.,PENDIENTE DE REVISIÓN LOCAL,,,
wayuuBetaBanner,Wayuunaiki completo en borrador de trabajo. Puede contener errores y está preparado para revisión con hablantes Wayuu y expertos locales.,WAYUUNAIKI JEKETÜ SÜPÜLA E'RAJAWAA. Pütchi tüü ainkasü mojulaa otta ee'iratawaa. E'rajünü sümaa wayuu ashajülii otta atüjülii anüiki sulu'u mma.,PENDIENTE DE REVISIÓN LOCAL,,,
wayuuLanguageTitle,Wayuunaiki y revisión comunitaria,Wayuunaiki otta aainjaa sümaa wayuukana,PENDIENTE DE REVISIÓN LOCAL,,,
wayuuLanguageText1,"COSTA VIVA incorpora una traducción provisional completa de la interfaz al Wayuunaiki. No se presenta como traducción definitiva y puede contener errores de vocabulario, gramática, ortografía, variantes locales y adecuación cultural.",COSTA VIVA eejatü joolu'u sümaa wane versión Wayuunaiki apüshua'a süpüla a'laajawaa. Nnojotsü maa traducción ekeraaka. Pütchi apüshua'a aainjüsü maa borrador süpüla e'rajawaa otta ee'irataa.,PENDIENTE DE REVISIÓN LOCAL,,,
